hour,post_count,actual_mean,predicted_mean,mape
0,60,11355.83,5682.48,129.01
1,55,14089.18,7485.71,88.25
2,80,10265.91,6950.69,49.79
3,165,17737.85,6152.3,126.88
4,141,4920.83,3629.28,66.3
5,72,8087.58,5352.53,100.25
6,34,1924.62,3367.88,77.31
7,13,4696.46,5809.77,76.56
8,12,2404.25,5476.08,924.11
9,13,10416.0,6928.46,996.66
10,1,0.0,14.0,0.0
11,1,0.0,45.0,0.0
16,2,13167.5,19163.5,51.01
17,2,456.0,1485.0,163.4
18,6,15516.0,10836.0,59.18
19,21,2757.19,6002.62,411.66
20,59,8901.76,6197.27,70.29
21,51,9589.82,5751.63,125.8
22,47,59475.09,8053.11,121.97
23,33,26192.3,7914.7,77.04
