period_start,predicted_reach,ci_lower,ci_upper
2025-09-01,12455.912109375,533.1730422803765,408780.6469256156
2025-09-08,10352.84619140625,442.6669499263577,339777.9041839997
2025-09-15,6767.0452880859375,289.0686539615601,222101.98201693746
2025-09-22,6282.618751525879,268.1913148026493,206208.68557353376
2025-09-29,6086.611344337463,259.7224408611377,199778.70037650125
2025-10-06,6382.1583877801895,272.2839156522,209480.98397975854
2025-10-13,5550.716869160533,236.8039043664336,182190.91833192133
2025-10-20,5936.4139279052615,253.26300926808742,194850.48599559692
2025-10-27,6446.850192122161,275.0728641782551,211603.39140076534
2025-11-03,6364.52098565441,271.5925015111626,208900.03849005586
2025-11-10,6219.59655649207,265.42618849001786,204142.6541460269
2025-11-17,6270.682047908906,267.6143038298277,205819.1352857117
