publish_hour,posts,avg_reach,avg_engagement_rate
0,60,14496.808510638299,0.5060682121753034
1,55,15194.21568627451,0.29917094673262334
2,79,11728.1,0.4433583301160526
3,161,21149.651851851853,0.5528305082894645
4,139,5576.927419354839,0.6908815011623723
5,72,8201.492957746479,0.5277411045590112
6,34,2423.5925925925926,0.542765293819749
7,13,5087.833333333333,0.19406137217434125
8,16,5155.428571428572,0.35959367719112517
9,16,9246.466666666667,0.3745386159503503
10,1,0.0,
11,1,,
16,2,13167.5,0.039477780678391874
17,2,456.0,1.4960993905297704
18,7,13824.857142857143,0.05504231254861965
19,21,3047.4210526315787,0.42768560803757044
20,59,10941.75,0.6302942488571744
21,51,11644.785714285714,0.6098088605320454
22,48,63769.47727272727,0.3102015271155731
23,33,27882.129032258064,0.5320135666879962
