month,posts,reach,impressions,engagements,avg_engagement_rate
2021-10,4,2938.0,0.0,2300.0,0.5426352250545842
2022-01,1,625.0,0.0,110.0,0.176
2022-05,1,140.0,0.0,650.0,4.642857142857143
2022-07,39,26246.0,0.0,23343.0,0.5703362431572938
2022-08,21,7679.0,0.0,7367.0,0.9906475374178992
2022-09,2,1985.0,0.0,2187.0,0.5744754344058827
2022-10,12,63378.0,0.0,69499.0,0.7068159701918059
2022-11,2,1104.0,0.0,1431.0,1.0748666148666148
2022-12,3,5094.0,0.0,5510.0,1.0038924476537938
2023-01,2,2405.0,0.0,1904.0,0.5405503978779841
2023-02,7,248739.0,0.0,338949.0,0.5564929497114247
2023-03,16,92762.0,0.0,80373.0,0.5390759701889075
2023-04,73,651729.0,0.0,583309.0,0.5661300209315692
2023-05,83,617517.0,0.0,894605.0,0.6219434887869654
2023-06,39,152283.0,0.0,59011.0,0.35421771947377234
2023-07,35,0.0,0.0,92670.0,
2023-08,14,0.0,0.0,26693.0,
2023-09,56,0.0,0.0,95694.0,
2023-10,31,777362.0,0.0,49937.0,0.054249866211878765
2023-11,25,554357.0,0.0,31043.0,0.05749064325981675
2023-12,7,347851.0,0.0,21012.0,0.07312323339735805
2024-01,16,25248.0,0.0,26260.0,1.2817755156074542
2024-02,10,16718.0,0.0,24707.0,1.1539295419099393
2024-03,32,127484.0,0.0,84560.0,0.8748824130607765
2024-04,20,27704.0,0.0,42538.0,1.4893570489667538
2024-05,26,30084.0,0.0,38333.0,0.9986031602206792
2024-06,14,14316.0,0.0,28005.0,1.7771750050108959
2024-07,18,19128.0,0.0,17022.0,0.8458531361124456
2024-08,29,30901.0,0.0,24406.0,1.0739484788419624
2024-09,5,45534.0,0.0,2438.0,0.34959254526539923
2024-10,20,382057.0,0.0,23177.0,0.06306244340710072
2024-11,46,3187118.0,0.0,206594.0,0.059971163841991915
2024-12,15,114071.0,0.0,6485.0,0.04826171940393538
2025-01,23,1794896.0,0.0,93631.0,0.14839473215102947
2025-02,42,837544.0,0.0,41632.0,0.04748673890458828
2025-03,21,211991.0,0.0,11478.0,0.05455292017708827
2025-04,16,193468.0,0.0,9731.0,0.050751791126306775
2025-05,19,129552.0,0.0,6548.0,0.05117995307259016
2025-06,4,179834.0,0.0,7338.0,0.04528244509970903
2025-07,14,382857.0,0.0,18650.0,0.19776788387944308
2025-08,7,305345.0,0.0,7881.0,0.06627991572579786
